source,target,weight,type
侯亮平,赵德汉,34,undirected
侯亮平,丁义珍,49,undirected
侯亮平,陈海,107,undirected
侯亮平,林华华,29,undirected
侯亮平,陆亦可,101,undirected
侯亮平,小皮球,43,undirected
侯亮平,陈岩石,41,undirected
侯亮平,钟小艾,54,undirected
侯亮平,蔡成功,82,undirected
侯亮平,祁同伟,147,undirected
侯亮平,高育良,211,undirected
侯亮平,李达康,32,undirected
侯亮平,季昌明,93,undirected
侯亮平,沙瑞金,62,undirected
侯亮平,赵东来,47,undirected
侯亮平,吕梁,29,undirected
侯亮平,高小琴,78,undirected
侯亮平,欧阳菁,25,undirected
侯亮平,赵瑞龙,41,undirected
侯亮平,刘新建,78,undirected
侯亮平,吴惠芬,37,undirected
侯亮平,肖钢玉,25,undirected
赵德汉,侯亮平,34,undirected
赵德汉,丁义珍,21,undirected
丁义珍,侯亮平,49,undirected
丁义珍,赵德汉,21,undirected
丁义珍,陆亦可,21,undirected
丁义珍,高育良,25,undirected
丁义珍,周正,25,undirected
丁义珍,祁同伟,25,undirected
丁义珍,李达康,29,undirected
陈海,侯亮平,107,undirected
陈海,陆亦可,32,undirected
陈海,赵东来,26,undirected
陆亦可,林华华,31,undirected
陆亦可,陈海,32,undirected
陆亦可,侯亮平,101,undirected
陆亦可,丁义珍,21,undirected
陆亦可,高育良,22,undirected
陆亦可,蔡成功,37,undirected
陆亦可,赵东来,81,undirected
陆亦可,高小琴,21,undirected
陆亦可,吴心怡,23,undirected
林华华,陆亦可,31,undirected
林华华,侯亮平,29,undirected
林华华,欧阳菁,28,undirected
季昌明,高育良,35,undirected
季昌明,侯亮平,93,undirected
高育良,季昌明,35,undirected
高育良,丁义珍,25,undirected
高育良,陆亦可,22,undirected
高育良,祁同伟,76,undirected
高育良,李达康,61,undirected
高育良,沙瑞金,42,undirected
高育良,侯亮平,211,undirected
高育良,赵立春,30,undirected
高育良,高小琴,28,undirected
高育良,赵瑞龙,53,undirected
高育良,吴惠芬,68,undirected
周正,丁义珍,25,undirected
祁同伟,丁义珍,25,undirected
祁同伟,高育良,76,undirected
祁同伟,李达康,47,undirected
祁同伟,沙瑞金,32,undirected
祁同伟,赵东来,41,undirected
祁同伟,侯亮平,147,undirected
祁同伟,高小琴,71,undirected
祁同伟,赵瑞龙,33,undirected
祁同伟,梁璐,37,undirected
祁同伟,刘新建,23,undirected
李达康,丁义珍,29,undirected
李达康,高育良,61,undirected
李达康,祁同伟,47,undirected
李达康,沙瑞金,105,undirected
李达康,孙连城,21,undirected
李达康,陈岩石,30,undirected
李达康,蔡成功,48,undirected
李达康,高小琴,27,undirected
李达康,赵东来,45,undirected
李达康,侯亮平,32,undirected
李达康,欧阳菁,66,undirected
李达康,王大路,34,undirected
李达康,赵瑞龙,27,undirected
李达康,易学习,60,undirected
沙瑞金,祁同伟,32,undirected
沙瑞金,李达康,105,undirected
沙瑞金,高育良,42,undirected
沙瑞金,陈岩石,50,undirected
沙瑞金,侯亮平,62,undirected
沙瑞金,赵瑞龙,32,undirected
沙瑞金,易学习,46,undirected
孙连城,李达康,21,undirected
小皮球,侯亮平,43,undirected
陈岩石,郑西坡,33,undirected
陈岩石,李达康,30,undirected
陈岩石,沙瑞金,50,undirected
陈岩石,侯亮平,41,undirected
郑西坡,陈岩石,33,undirected
郑西坡,蔡成功,43,undirected
郑西坡,郑胜利,77,undirected
赵东来,祁同伟,41,undirected
赵东来,蔡成功,52,undirected
赵东来,李达康,45,undirected
赵东来,侯亮平,47,undirected
赵东来,陆亦可,81,undirected
赵东来,陈海,26,undirected
蔡成功,郑西坡,43,undirected
蔡成功,李达康,48,undirected
蔡成功,侯亮平,82,undirected
蔡成功,赵东来,52,undirected
蔡成功,陆亦可,37,undirected
蔡成功,欧阳菁,43,undirected
高小琴,李达康,27,undirected
高小琴,祁同伟,71,undirected
高小琴,侯亮平,78,undirected
高小琴,高育良,28,undirected
高小琴,陆亦可,21,undirected
高小琴,赵瑞龙,34,undirected
郑胜利,郑西坡,77,undirected
郑胜利,张宝宝,24,undirected
钟小艾,侯亮平,54,undirected
赵立春,高育良,30,undirected
赵立春,赵瑞龙,26,undirected
吕梁,侯亮平,29,undirected
欧阳菁,蔡成功,43,undirected
欧阳菁,李达康,66,undirected
欧阳菁,王大路,29,undirected
欧阳菁,侯亮平,25,undirected
欧阳菁,林华华,28,undirected
王大路,欧阳菁,29,undirected
王大路,李达康,34,undirected
张宝宝,郑胜利,24,undirected
赵瑞龙,赵立春,26,undirected
赵瑞龙,李达康,27,undirected
赵瑞龙,高小琴,34,undirected
赵瑞龙,祁同伟,33,undirected
赵瑞龙,沙瑞金,32,undirected
赵瑞龙,侯亮平,41,undirected
赵瑞龙,高育良,53,undirected
赵瑞龙,刘新建,44,undirected
赵瑞龙,杜伯仲,22,undirected
吴心怡,陆亦可,23,undirected
吴惠芬,高育良,68,undirected
吴惠芬,侯亮平,37,undirected
梁璐,祁同伟,37,undirected
易学习,沙瑞金,46,undirected
易学习,李达康,60,undirected
刘新建,侯亮平,78,undirected
刘新建,赵瑞龙,44,undirected
刘新建,祁同伟,23,undirected
肖钢玉,侯亮平,25,undirected
杜伯仲,赵瑞龙,22,undirected
